Rank,Movie,Lifetime Gross,Year
622,The Addams Family (1991),113502426,1991
623,The Patriot (2000),113330342,2000
624,Bad Moms (2016),113257297,2016
625,The Bourne Legacy (2012),113203870,2012
626,The Pacifier (2005),113086868,2005
627,Dr. Dolittle 2 (2001),112952899,2001
628,The Rocky Horror Picture Show (1975),112892319,1975
629,It's Complicated (2009),112735375,2009
630,Spy Kids (2001),112719001,2001
631,Ghostbusters II (1989),112494738,1989
632,Face/Off (1997),112276146,1997
633,The Hangover Part III (2013),112200072,2013
634,Twins (1988),111938388,1988
635,Spy Kids 3: Game Over (2003),111761982,2003
636,Doctor Zhivago (1965),111721910,1965
637,Enemy of the State (1998),111549836,1998
